ï»¿"","Órgão","Cargo","Favorecido","Saída","Chegada","Destino","Qtd.","Diária","Total","Pgto.","Históricos","CNPJ","Ano","SqLiquidacao","ParentForm","SqDiaria","TpOrigem"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADORA DO PROGRAMA BOLSA FAMILIA COND. EDUCAÇÃO","JANILCE SANTOS PIMENTEL","01/06/2017","01/06/2017","SALVADOR/BA","1","140,00","140,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESEPSA NA CONCESSÃO DE DIÁRIA PARA SRª JANICE SANTOS PIMENTEL COORDENADORA DO PROGRAMA BOLSA FAMILIA NA CONDICIONALIDADE EDUCAÇÃO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 01 DE JUNHO DE 2017 PARA PARTICIPAR DA AÇÃO DE ACOMPANHAMENTO NA UTILIZAÇÃO DO SISTEMA PRESENÇA, BENEFICIÁRIOS NÃO LOCALIZ\ADOS E SIGPBF -SICON, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","707","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","DIRETORA MUNICIPAL DA MATRICULA ESCOLAR","BARBARA MAIARA CALAZANS SILVA","01/06/2017","01/06/2017","SALVADOR/BA","1","140,00","140,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESEPSA NA CONCESSÃO DE DIÁRIA PARA SRª BARBARA MAIARA CALAZANS SILVA DIRETORA MUNICIPAL DA MATRICULA ESCOLAR PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 01 DE JUNHO DE 2017 PARA PARTICIPAR DA AÇÃO DE ACOMPANHAMENTO NA UTILIZAÇÃO DO SISTEMA PRESENÇA, BENEFICIÁRIOS NÃO LOCALIZ\ADOS E SIGPBF -SICON, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","708","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","03/06/2017","04/06/2017","SALVADOR/BA","2","240,00","480,00","09/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANO MACEDO DE JESUS CONTROLADOR GERAL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 03 E 04 DE JUNHO DE 2017, PARA PARTICIPAR DO 4º MÓDULO DO CRUSO DE FROMAÇÃO E APERFEIÇOAMENTO EM CONTROLADORIA INTERNA DE PREFEITURA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","778","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GLEUMA FERREIRA DA SILVA","22/05/2017","23/05/2017","SERRINHA/BA","2","90,00","180,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª GLEUMA FERREIRA DA SILVA COORDENADORA PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA NOS DIAS 22 E 23 DE MAIO DE 2017 PARA PARTICIPAR DO I CIRCULO FORMATIVO DO PROGRAMA PACTO PELA EDUCAÇÃO, CONFORME REQUISIÇÃO EME ANEXO.","13810312000102","2017","782","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GERUZIA SANTOS DE JESUS COELHO","23/05/2017","24/05/2017","SERRINHA/BA","2","90,00","180,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª GERUZIA SANTOS DE JESUS COELHO COORDENADORA PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA NOS DIAS 23 E 24 DE MAIO DE 2017 PARA PARTICIPAR DO I CIRCULO FORMATIVO DO PROGRAMA PACTO PELA EDUCAÇÃO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","783","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","SUPRVISORA DE ENSINO","ILMARA CALAZANS DOS SANTOS SILVA","14/06/2017","14/06/2017","FEIRA DE SANATANA/BA","1","90,00","90,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª ILMARA CALAZANS DOS SANTOS SILVA SUPERVISORA DE ENSINO PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NOS DIAS 14 DE JUNHO DE 2017 PARA PARTICIPAR DO TREINAMNETO DO CENSO ESCOLAR, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","784","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","DIRETORA MUNICIPAL DA MATRICULA ESCOLAR","BARBARA MAIARA CALAZANS SILVA","14/06/2017","14/06/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª BARBARA MAIARA CALAZANS SILVA DIRETORA MUNICIPAL DA MATRICULA ESCOLAR PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NOS DIAS 14 DE JUNHO DE 2017 PARA PARTICIPAR DO TREINAMNETO DO CENSO ESCOLAR, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","828","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADORA DA MERENDA ESCOLAR","KEILIANNE BASTOS FERREIRA","07/06/2017","08/06/2017","FEIRA DE SANTANA/BA","2","90,00","180,00","28/06/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª KEILIANNE BASTOS FERREIRA COORDENADORA DA MERENDA ESCOLAR, PARA CUSTAER VIAGEM A CIDADE DE FEIRA DE SANTANA/BA PARA PARTICIPAR DA FORMAÇÃO DE ATORES MUNICIPAIS PARA EXERCUÇÃO DO PNAE NOS DIAS 07 E 08 DE JUNHO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","829","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","NUTRICIONISTA","HELLEN JANAINA DO NASCIMENTO SANTOS","07/06/2017","08/06/2017","FEIRA DE SANTANA/BA","2","90,00","180,00","11/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª HELLEN JANAINA DO NASCIMENTO SANTOS NUTRICIONISTA PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NOS DIAS 07 E 08/06/2017 PARA PARTICIPAR DO EVENTO FORMAÇÃO DE ATORES MUNICIPAIS PARA EXERCUÇÃO DO PNAE, CONFORME REQUISÇÃO EM ANEXO.","13810312000102","2017","863","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","SUPERVISOR DE ENSINO","TARCISIO SILVA DE OLIVEIRA","07/06/2017","08/06/2017","FEIRA DE SANTANA/BA","2","90,00","180,00","11/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRº TARCISIO SILVA DE OLIVEIRA SUPERVISOR DE ENSINO PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NOS DIAS 07 E 08/06/2017 PARA PARTICIPAR DO EVENTO FORMAÇÃO DE ATORES MUNICIPAIS PARA EXERCUÇÃO DO PNAE, CONFORME REQUISÇÃO EM ANEXO.","13810312000102","2017","864","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","08/07/2014","09/07/2017","SALVADOR/BA","2","140,00","280,00","11/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS, DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 08 E 09 DE JULHO DE 2017 PARA PARTICIPAR DO 3º MÓDULO DO CURSO DE PLANEJAMENTO E EXERCUSÃO ORÇAMENTÁRIA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1068","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","DIRETORA MUNICIPAL DA MATRICULA ESCOLAR","BARBARA MAIARA CALAZANS SILVA","07/07/2017","07/07/2017","SERRINHA/BA","1","90,00","90,00","03/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª BARBARA MAIARA CALAZANS SILVA DIRETORA MUNICIPAL DA MATRICULA ESCOLAR PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA NOS DIAS 07/07/2017 PARA PARTICIPAR DA 1ª FORMAÇÃO DA AÇÃO DE FORTALECIMENTO DO COMITÊS MUNICIPAIS DO PDDE, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1126","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","15/07/2017","16/07/2017","SALVADOR/BA","2","140,00","280,00","03/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 15 E 17/07/2017 PARA PARTICIPAR DO 1ª MÓDULO DO CURSO DE FISCALIZAÇÃO DE TRIBUTOS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1140","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS","ENGENHEIRO CIVIL","DENILTON GONÇALVES MESQUITA","17/07/2017","21/07/2017","SALVADOR/BA","5","100,00","500,00","19/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº DENILTON GONÇALVES MESQUITA ENGENHEIRO CIVIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 17 A 21/07/2017 PARA PARTICIPAR DA OFICINA DE CAPACITAÇÃO PARA ELABORAÇÃO DE PROJETO DE TRABALHO SOCIAL -PTS, RELATÓRIO DE DIAGNÓSTICO DE DEMANDA - RDD E PLANO LOCAL DE HABITAÇÃO DE INTERESE SOCIAL - PLHIS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1142","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","SECRETÁRIO EXECULTIVO DE COMUNICAÇÃO, LAZER E CULTURA","SAULO CARVALHO GALVÃO","11/07/2017","11/07/2017","FEIRA DE SANTANA/BA","1","160,00","160,00","03/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA APRA O SRº SAULO CARVALHO GALVÃO SECRETARIA EXECULTIVO DE COMUNICAÇÃO, LAZER E CULTURA PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NO DIA 11/07/2017 PARA PARTICIPAR DA CÂMARA TÉCNICA DA ZONA TURÍSTICA CAMINHOS DO SERTÃO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1149","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA","SECRETARIO (A) DE SEGURANÇA PÚBLICA","ISAIAS DE SANTANA CORREIA","27/07/2017","30/07/2017","BRASILIA/DF","3","360,00","1080,00","27/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ISAIAS DE SANTANA CORREIA COMANDANTE DA GUARDA CIVIL MUNICIPAL DE TUCANO PARA CUSTEAR VIAGEM A CIDADE DE BRASILIA/DF NOS DIAS 27 A 30/07/2017 PARA PARTICIPAR DO TREINAMENTO PRESENCIAL SINESP INFOSEG, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1151","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","MOTORISTA","GILENO ARAUJO BARRETO","27/07/2017","28/07/2017","SALVADOR/BA","2","100,00","200,00","27/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº GILENO ARAUJO BARRETO MOTORISTA PARA CIDADE DE SALVADOR/BA NOS DIAS 27 E 28/07/2017 PARA LEVAR O CAMINHÃO DA MERENDA ESCOLAR PARA REVISÃO PREVENTIVA, CONFORME REQUISIÇÃO ANEXO.","13810312000102","2017","1170","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","29/07/2017","30/07/2017","SALVADOR/BA","2","240,00","480,00","03/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 29 E 30 DE JULHO PARA PARTICIPAR DO CURSO DE METODOLOGIA DA PESQUISA CIENTIFICA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1187","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","29/07/2017","30/07/2017","SALVADOR/BA","2","240,00","480,00","03/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANAO MACEDO DE JESUS CONTROLADOR GERAL DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 29 E 30 DE JULHO DE 2017, PARA PARTICIPAR DO CURSO DE METODOLOGIA DA PESQUISA CIENTIFICA . CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","1188","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","05/08/2017","06/08/2017","SALVADOR/BA","2","240,00","480,00","17/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANO MACEDO DE JESUS CONTROLADOR GERAL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA PARA PARTICIPAR DO 6º MÓDULO DO CURSO DE FORMAÇÃO E APERFEIÇOAMENTO EM CONTROLADORIA INTERNA DE PREFEITURA NOS DIAS 05 E 06 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1394","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GLEUMA FERREIRA DA SILVA","14/08/2017","16/08/2017","SERRINHA/BA","3","90,00","270,00","18/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª GLEUMA FERREIRA DA SILVA COORDENADORA PEDAGÓGICA PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA PARA PARTICIPAR DO II CÍRCULO FORMATIVO DO PROGRAMA ESTADUAL PACTO PELA EDUCAÇÃO - PACTO NOS DIAS 14 A 16 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1396","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GERUZIA SANTOS DE JESUS COELHO","14/08/2017","16/08/2017","SERRINHA/BA","3","90,00","270,00","18/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª GERUZIA SANTOS DE JESUS COELHO COORDENADORA PEDAGÓGICA PARA CUSTEAR VIAGEM A CIDADE DE SERRINHA/BA PARA PARTICIPAR DO II CÍRCULO FORMATIVO DO PROGRAMA ESTADUAL PACTO PELA EDUCAÇÃO - PACTO NOS DIAS 14 A 16 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1397","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","COORDENADOR DE ACOMPANHAMENTO CONTABIL","EDMILSON SANTOS DE MENEZES","21/08/2017","21/08/2017","SALVADOR/BA","1","140,00","140,00","18/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº EDMILSON SANTOS DE MENEZES COORDENADOR DE ACOMPANHAMENTO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA PARA PARTICIPAR DE REUNIÃO NO ESCRITÓRIO DA EMPRESA GRADUS ASSESSORIA CONTÁBIL TRATAR DE ASSUNTOS DA CONTABILIADADE NO DIA 21 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1424","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","19/08/2017","21/08/2017","SALVADOR/BA","2","140,00","280,00","10/11/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 19 E 20/08/2017 PARA PARTICIPAR DO 2ª MÓDULO DO CURSO DE FISCALIZAÇÃO DE TRIBUTOS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1434","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","28/08/2017","28/08/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","10/11/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NO DIA 28 DE AGOSTO DE 2017, PARA PARTICIPAR DA REUNIÃO NA GIGOV/FS COM O SECRETÁRIO DE SAÚDE E ENGENHEIRO CIVIL CONTRATADO PARA ENTREGAR O PRJETO DA REFORMA DO HOSPITAL MUNICIPAL MARIANA PENEDO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1445","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","23/09/2017","25/09/2017","SALVADOR/BA","2","140,00","280,00","27/12/2017","LIQUIDADO PARA PAGAMENTOA DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 23  E 24/09/2017 PARA PARTICIPAR DO 3ª MÓDULO DO CURSO DE FISCALIZAÇÃO DE TRIBUTOS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1695","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO","AGENTE DE DESENVOLVIMENTO","LILIAN DA SILVA PIMENBTEL","08/10/2017","10/10/2017","SALVADOR/BA","2,5","140,00","350,00","06/10/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DIÁRIA PARA SRª LILIAN DA SILVA PIMENTEL AGENTE DE DESENVOLVIMENTO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 08 A 10/10/2017 PARA PARTICIPAR DO CURSO DE AGENTE DE DESENVOLVIMENTO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1878","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO","AGENTE DE DESENVOLVIMENTO","ARACELLY MACEDO NUNES","08/10/2017","10/10/2017","SALVADOR/BA","2,5","140,00","350,00","06/10/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DIÁRIA PARA SRª ARACELLY MACEDO NUNES AGENTE DE DESENVOLVIMENTO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 08 A 10/10/2017 PARA PARTICIPAR DO CURSO DE AGENTE DE DESENVOLVIMENTO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","1879","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE DESENVOLVIMENTO RURAL","SUPERVISOR DE ASSITÊNCIA TÉCNICA","EDSON CARDOSO DE MATOS","07/11/2017","08/11/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","10/11/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº EDSON CARDOSO DE MATOS SUPERVISOR DE ASSISTÊNCIA TÉCNICA PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NO DIA 07 DE NOVEMBRO DE 2017 PARA PARTICIPAR DA REUNIÃO NA 35º BI PARA DISCUTIR ACERCA DO PROGRAMA EMERGENCIAL DE DISTRIBUIÇÃO DE ÁGUA POTÁVEL, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","2003","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","SECRETÁRIO EXECUTIVO DE GOVERNO","CLERISTON SANTANA OLIVEIRA","28/11/2017","30/11/2017","BRASILIA/DF","3","480,00","1440,00","27/11/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº CLERISTON SANTANA OLIVEIRA SECRETÁRIO EXECUTIVO DE GOVERNO PARA CUSTEAR VIAGEM A CIDADE DE BRASILIA/DF NOS DIAS 28 A 30 DE NOVEMBRO DE 2017 PARA PARTICIPAR DO SEMINÁRIO MUNICIPIOS E A REGULARIZAÇÃO FUNDIÁRIA: DESAFIOS, PERSPECTIVAS E FERRAMENTAS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","2254","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","ASSITENTE SOCIAL","ALEXSANDRA SOUZA DA SILVA","13/03/2017","14/03/2017","SALVADOR/BA","2","100,00","200,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ALEXSANDRA SOUZA DA SILVA ASSISTÊNCIA SOCIAL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 13 E 14 DE MARÇO DE 2017, PARA PARTICIPAR DO ASSESSORAMENTO TÉCNICO ÁS EQUIPES VOLANTES DOS CRAS DO ESTADO DA BAHIA, CONFORME REQUISIÇÃO EM ANEXO.","17993326000160","2017","99","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","CARGO NÃO INFORMADO","NILMARA MACEDO COSTA","25/04/2017","26/04/2017","SALVADOR/BA","2","100,00","200,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª NILMARA MACEDO COSTA ASSISTENTE SOCIAL PRA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS 25 E 26 DE ABRIL DE 2017, PARA PARTICIPAR DA 150 º REUNIÃO ORDINÁRIA DA CIB E DA ORIENTAÇÃO TÉCNICA NA SUPERINTENDÊNCIA DE ASSITÊNCIA SOCIAL, CONFORME REQUISIÇÃO EM ANEXO.","17993326000160","2017","109","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","ASSITENTE SOCIAL","ALEXSANDRA SOUZA DA SILVA","25/04/2017","26/04/2017","SALVADOR/BA","2","100,00","200,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ALEXSANDRA SOUZA DA SILVA ASSISTENTE SOCIAL PRA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS 25 E 26 DE ABRIL DE 2017, PARA PARTICIPAR DA 150 º REUNIÃO ORDINÁRIA DA CIB E DA ORIENTAÇÃO TÉCNICA NA SUPERINTENDÊNCIA DE ASSITÊNCIA SOCIAL, CONFORME REQUISIÇÃO EM ANEXO.","17993326000160","2017","110","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","COORDENADOR DO BOLSA FAMILIA","ARTHUR MIRANDA DE ALMEIDA NETO","01/06/2017","01/06/2017","SALVADOR","1","140,00","140,00","29/06/2017","LIQUIDADO PARA PAGAMENTO A DESEPSA NA CONCESSÃO DE DIÁRIA PARA SRº ARTUR MIRANDA DE ALMEIDA NETO COORDENADOR DO BOLSA FAMILIA PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 01 DE JUNHO DE 2017 PARA PARTICIPAR DA AÇÃO DE ACOMPANHAMENTO NA UTILIZAÇÃO DO SISTEMA PRESENÇA, BENEFICIÁRIOS NÃO LOCALIZ\ADOS E SIGPBF -SICON, CONFORME REQUISIÇÃO EM ANEXO.","17993326000160","2017","135","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","COORDENADOR DO BOLSA FAMILIA","ARTHUR MIRANDA DE ALMEIDA NETO","05/06/2017","07/06/2017","SALVADOR/BA","2","140,00","280,00","29/06/2017","LIQUIDADO PARA PAGAMENTO A DESEPSA NA CONCESSÃO DE DIÁRIA PARA SRº ARTUR MIRANDA DE ALMEIDA NETO COORDENADOR DO BOLSA FAMILIA PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 05  A 07 DE JUNHO DE 2017 PARA PARTICIPAR DA  CAPACITAÇÃO DO SISTEMA DO CADASTRO UNICO, CONFORME REQUISIÇÃO EM ANEXO","17993326000160","2017","147","frmCadLiqEmpenho","1","E"
"","SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL","CARGO NÃO INFORMADO","JOSÉ CABRAL DE SOUZA FILHO","05/07/2017","05/07/2017","SALVADOR","1","100,00","100,00","03/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA O SRº JOSÉ CABRAL DE SOUZA FILHO EMISSOR DE CTPS, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 05/07/2017 BUSCAR CARTERIAS DE TRABALHO (CTPS), CONFORME REQUISIÇÃO DE ANEXO.","17993326000160","2017","172","frmCadLiqEmpenho","1","E"
